123
0;3.247612;-656
0.01;3.244759;-576
0.02;3.243385;-552
0.03;3.24575;-712
0.04;3.247833;-664
0.05;3.242973;-672
0.06;3.243675;-616
0.07;3.246513;-680
0.08;3.24585;-632
0.09;3.244164;-736
0.1;3.244583;-696
0.11;3.246361;-712
0.12;3.245262;-672
0.13;3.246429;-648
0.14;3.244652;-656
0.15;3.245361;-648
0.16;3.247276;-776
0.17;3.246742;-656
0.18;3.243179;-656
0.19;3.246452;-648
0.2;3.247528;-728
0.21;3.245628;-664
0.22;3.243286;-552
0.23;3.247429;-624
0.24;3.24659;-680
0.25;3.245369;-624
0.26;3.244041;-624
0.27;3.246849;-744
0.28;3.245094;-648
0.29;3.246323;-680
0.3;3.244286;-672
0.31;3.245613;-728
0.32;3.245979;-768
0.33;3.246918;-704
0.34;3.242928;-680
0.35;3.244637;-648
0.36;3.24704;-688
0.37;3.246712;-752
0.38;3.242111;-648
0.39;3.246475;-688
0.4;3.247246;-664
0.41;3.245926;-664
0.42;3.243362;-616
0.43;3.246468;-648
0.44;3.245911;-712
0.45;3.246162;-712
0.46;3.245003;-712
0.47;3.245651;-712
0.48;3.245407;-720
0.49;3.247612;-624
0.5;3.244102;-584
0.51;3.244385;-704
0.52;3.246948;-696
0.53;3.246681;-600
0.54;3.243271;-744
0.55;3.244484;-800
0.56;3.247932;-720
0.57;3.246498;-608
0.58;3.242676;-800
0.59;3.245544;-776
0.6;3.246323;-680
0.61;3.245422;-656
0.62;3.244934;-800
0.63;3.245041;-728
0.64;3.245399;-696
0.65;3.246521;-648
0.66;3.244965;-696
0.67;3.243217;-792
0.68;3.246864;-720
0.69;3.247681;-672
0.7;3.244637;-752
0.71;3.243469;-824
0.72;3.247993;-688
0.73;3.246437;-656
0.74;3.243805;-776
0.75;3.244118;-720
0.76;3.247681;-656
0.77;3.245224;-656
0.78;3.244652;-664
0.79;3.24395;-680
0.8;3.246506;-728
0.81;3.245697;-736
0.82;3.246887;-784
0.83;3.24334;-816
0.84;3.246109;-808
0.85;3.246758;-696
0.86;3.246307;-648
0.87;3.242302;-520
0.88;3.246628;-640
0.89;3.246918;-616
0.9;3.244888;-576
0.91;3.243309;-528
0.92;3.247673;-688
0.93;3.245689;-568
0.94;3.245834;-584
0.95;3.244553;-584
0.96;3.246429;-624
0.97;3.24556;-552
0.98;3.24646;-600
0.99;3.244286;-536
1;3.245308;-480
1.01;3.247177;-432
1.02;3.247223;-600
1.03;3.242897;-520
1.04;3.2463;-536
1.05;3.247658;-696
1.06;3.245689;-616
1.07;3.243248;-576
1.08;3.246239;-656
1.09;3.24707;-664
1.1;3.244827;-680
1.11;3.244446;-560
1.12;3.246132;-688
1.13;3.245865;-624
1.14;3.24614;-640
1.15;3.245255;-576
1.16;3.244873;-608
1.17;3.246475;-560
1.18;3.247093;-648
1.19;3.243713;-600
1.2;3.24427;-624
1.21;3.24852;-688
1.22;3.245522;-776
1.23;3.243423;-584
1.24;3.245872;-712
1.25;3.247772;-648
1.26;3.244499;-808
1.27;3.244598;-744
1.28;3.246468;-728
1.29;3.246162;-696
1.3;3.244987;-768
1.31;3.245461;-776
1.32;3.244743;-800
1.33;3.245598;-704
1.34;3.24707;-632
1.35;3.244576;-648
1.36;3.24337;-656
1.37;3.247147;-704
1.38;3.246452;-672
