123
0;3.568733;-920
0.01;3.569092;-896
0.02;3.567596;-1016
0.03;3.568192;-1104
0.04;3.570244;-1104
0.05;3.568779;-1056
0.06;3.567207;-984
0.07;3.569611;-1120
0.08;3.570969;-1032
0.09;3.568047;-1056
0.1;3.566765;-1040
0.11;3.570351;-1176
0.12;3.570114;-1040
0.13;3.567673;-968
0.14;3.568993;-904
0.15;3.569824;-1024
0.16;3.568916;-1016
0.17;3.569717;-1016
0.18;3.56913;-992
0.19;3.567589;-1040
0.2;3.569839;-1048
0.21;3.569855;-1008
0.22;3.567413;-968
0.23;3.567963;-1000
0.24;3.570793;-1104
0.25;3.569122;-1016
0.26;3.566284;-1016
0.27;3.569405;-1016
0.28;3.570396;-1064
0.29;3.567413;-984
0.3;3.567474;-1040
0.31;3.570534;-1088
0.32;3.569183;-1032
0.33;3.568581;-1024
0.34;3.568886;-1080
0.35;3.569023;-1096
0.36;3.569145;-1120
0.37;3.570229;-1072
0.38;3.568214;-1056
0.39;3.568336;-1120
0.4;3.570313;-1048
0.41;3.570488;-1088
0.42;3.56633;-1096
0.43;3.568718;-1144
0.44;3.571442;-1096
0.45;3.568512;-1024
0.46;3.566093;-1032
0.47;3.569443;-984
0.48;3.570099;-1024
0.49;3.568207;-1032
0.5;3.567696;-912
0.51;3.569313;-872
0.52;3.568794;-840
0.53;3.56955;-936
0.54;3.568184;-832
0.55;3.567505;-920
0.56;3.569618;-824
0.57;3.570381;-832
0.58;3.566879;-872
0.59;3.56694;-1144
0.6;3.570938;-880
0.61;3.569527;-720
0.62;3.565903;-872
0.63;3.568268;-1008
0.64;3.570419;-688
0.65;3.568832;-840
0.66;3.567741;-1056
0.67;3.569122;-1048
0.68;3.569397;-1024
0.69;3.568901;-1064
0.7;3.568459;-976
0.71;3.567871;-944
0.72;3.568542;-776
0.73;3.570518;-968
0.74;3.568413;-888
0.75;3.566376;-968
0.76;3.570114;-1000
0.77;3.571037;-816
0.78;3.56723;-904
0.79;3.567635;-1112
0.8;3.570602;-912
0.81;3.568985;-848
0.82;3.566856;-904
0.83;3.568207;-1096
0.84;3.569267;-952
0.85;3.569199;-904
0.86;3.568886;-888
0.87;3.567245;-920
0.88;3.567528;-960
0.89;3.569962;-976
0.9;3.568916;-944
0.91;3.565681;-984
0.92;3.569382;-848
0.93;3.57074;-1000
0.94;3.568169;-1008
0.95;3.565956;-1016
0.96;3.570221;-1008
0.97;3.569733;-1040
0.98;3.567551;-856
0.99;3.567772;-1080
1;3.56958;-824
